Year,Country,Continent,Rank,Population
1959,中国,亚洲,1,654954856
1959,印度,亚洲,2,440813896
1959,美国,美洲,3,177622013
1959,俄罗斯,欧洲,4,118148000
1959,日本,亚洲,5,91681328
1959,印尼,亚洲,6,85521979
1959,德国,欧洲,7,72247225
1959,巴西,美洲,8,70146513
1959,英国,欧洲,9,52218942
1959,意大利,欧洲,10,49208667
1959,孟加拉,亚洲,11,46847445
1959,法国,欧洲,12,46242129
1959,尼日利亚,非洲,13,44254686
1959,巴基斯坦,亚洲,14,43890982
1959,乌克兰,欧洲,15,42130316
1959,墨西哥,美洲,16,36989694
1959,越南,亚洲,17,31698431
1959,西班牙,欧洲,18,30115936
1959,波兰,欧洲,19,28665037
1959,土耳其,欧洲,20,26808621
1959,泰国,亚洲,21,26600275
1959,埃及,非洲,22,26262697
1959,菲律宾,亚洲,23,25408603
1959,韩国,亚洲,24,24295670
1959,埃塞俄比亚,非洲,25,21661996
1959,伊朗,亚洲,26,21350524
1959,缅甸,亚洲,27,20540399
1959,阿根廷,美洲,28,20285531
1959,罗马尼亚,欧洲,29,18254608
1959,加拿大,美洲,30,17502043
1959,南非,非洲,31,17009989
1959,哥伦比亚,美洲,32,15994889
1959,刚果（金）,非洲,33,14871772
1959,摩洛哥,非洲,34,11950826
1959,荷兰,欧洲,35,11264566
1959,朝鲜,亚洲,36,11145152
1959,阿尔及利亚,非洲,37,10848973
1959,澳大利亚,大洋洲,38,10046139
1959,匈牙利,欧洲,39,9957295
1959,尼泊尔,亚洲,40,9906689
1959,坦桑尼亚,非洲,41,9787033
1959,秘鲁,美洲,42,9784910
1959,斯里兰卡,亚洲,43,9640836
1959,捷克,欧洲,44,9477371
1959,哈萨克斯坦,亚洲,45,9292148
1959,比利时,欧洲,46,9093483
1959,葡萄牙,欧洲,47,8853393
1959,阿富汗,亚洲,48,8834445
1959,乌兹别克斯坦,亚洲,49,8273556
1959,希腊,欧洲,50,8271724
1959,白俄罗斯,欧洲,51,8118264
1959,马来西亚,亚洲,52,7911036
1959,肯尼亚,非洲,53,7860475
1959,委内瑞拉,美洲,54,7846954
1959,保加利亚,欧洲,55,7792759
1959,智利,美洲,56,7546713
1959,瑞典,欧洲,57,7434674
1959,苏丹,非洲,58,7328718
1959,莫桑比克,非洲,59,7241232
1959,伊拉克,亚洲,60,7115511
1959,奥地利,欧洲,61,7011632
1959,古巴,美洲,62,7005481
1959,塞尔维亚,欧洲,63,6589000
1959,乌干达,非洲,64,6585105
1959,加纳,非洲,65,6445283
1959,柬埔寨,亚洲,66,5578675
1959,安哥拉,非洲,67,5536779
1959,瑞士,欧洲,68,5213340
1959,马里,非洲,69,5205449
1959,也门,亚洲,70,5086541
1959,喀麦隆,非洲,71,5072801
1959,马达加斯加,非洲,72,4979753
1959,布基纳法索,非洲,73,4764077
1959,丹麦,欧洲,74,4549237
1959,叙利亚,亚洲,75,4430101
1959,厄瓜多尔,美洲,76,4418892
1959,芬兰,欧洲,77,4395188
1959,突尼斯,非洲,78,4123439
1959,克罗地亚,欧洲,79,4114282
1959,危地马拉,美洲,80,4087923
1959,斯洛伐克,欧洲,81,4032799
1959,沙特阿拉伯,亚洲,82,3965815
1959,海地,美洲,83,3791097
1959,阿塞拜疆,亚洲,84,3768331
1959,津巴布韦,非洲,85,3629356
1959,玻利维亚,美洲,86,3623965
1959,格鲁吉亚,亚洲,87,3579000
1959,挪威,欧洲,88,3551305
1959,马拉维,非洲,89,3539970
1959,几内亚,非洲,90,3521704
1959,科特迪瓦,非洲,91,3435930
1959,尼日尔,非洲,92,3295583
1959,多米尼加,美洲,93,3184757
1959,波黑,欧洲,94,3165191
1959,塞内加尔,非洲,95,3121092
1959,赞比亚,非洲,96,2954483
1959,乍得,非洲,97,2945101
1959,香港,亚洲,98,2941712
1959,南苏丹,非洲,99,2902083
1959,卢旺达,非洲,100,2860691
1959,爱尔兰,欧洲,101,2836551
1959,立陶宛,欧洲,102,2735814
1959,布隆迪,非洲,103,2732438
1959,索马里,非洲,104,2699595
1959,萨尔瓦多,美洲,105,2687233
1959,乌拉圭,美洲,106,2505015
1959,摩尔多瓦,欧洲,107,2481000
1959,贝宁,非洲,108,2400127
1959,波多黎各,美洲,109,2335993
1959,新西兰,大洋洲,110,2331100
1959,塞拉利昂,非洲,111,2266686
1959,吉尔吉斯斯坦,亚洲,112,2106792
1959,拉脱维亚,欧洲,113,2106392
1959,老挝,亚洲,114,2072699
1959,以色列,亚洲,115,2036279
1959,塔吉克斯坦,亚洲,116,2020554
1959,洪都拉斯,美洲,117,1982192
1959,巴布亚新几内亚,大洋洲,118,1970694
1959,巴拉圭,美洲,119,1853939
1959,亚美尼亚,亚洲,120,1807917
1959,黎巴嫩,亚洲,121,1747162
1959,尼加拉瓜,美洲,122,1719365
1959,牙买加,美洲,123,1608723
1959,斯洛文尼亚,欧洲,124,1570492
1959,阿尔巴尼亚,欧洲,125,1561012
1959,多哥,非洲,126,1559674
1959,土库曼斯坦,亚洲,127,1550411
1959,新加坡,亚洲,128,1545001
1959,中非,非洲,129,1479470
1959,马其顿,欧洲,130,1469843
1959,利比亚,非洲,131,1401620
1959,厄立特里亚,非洲,132,1364276
1959,哥斯达黎加,美洲,133,1286229
1959,爱沙尼亚,欧洲,134,1203467
1959,巴拿马,美洲,135,1100067
1959,利比里亚,非洲,136,1096442
1959,刚果（布）,非洲,137,1011584
1959,蒙古,亚洲,138,931481
1959,约旦,亚洲,139,884864
1959,莱索托,非洲,140,837519
1959,毛里塔尼亚,非洲,141,834023
1959,特立尼达和多巴哥,美洲,142,829489
1959,毛里求斯,非洲,143,640758
1959,几内亚比绍,非洲,144,608779
1959,纳米比亚,非洲,145,588426
1959,塞浦路斯,欧洲,146,566982
1959,圭亚那,美洲,147,554092
1959,阿曼,亚洲,148,539328
1959,博茨瓦纳,非洲,149,512647
1959,加蓬,非洲,150,494751
1959,东帝汶,亚洲,151,491423
1959,黑山,欧洲,152,471363
1959,斐济群岛,大洋洲,153,380451
1959,冈比亚,非洲,154,356968
1959,斯威士兰,非洲,155,340748
1959,马耳他,欧洲,156,313725
1959,卢森堡,欧洲,157,311508
1959,苏里南,美洲,158,281668
1959,赤道几内亚,非洲,159,251601
